organism,assembly,transcripts,variants,time_sec,variants_per_sec
yeast_R64,R64-1-1,7036,10000,0.3456,28935
yeast_R64,R64-1-1,7036,50000,0.5114,97771
yeast_R64,R64-1-1,7036,260526,1.4736,176796
elegans_WBcel235,WBcel235,44365,10000,2.2215,4501
elegans_WBcel235,WBcel235,44365,100000,2.7010,37023
drosophila_BDGP6,BDGP6.54,35442,10000,2.3089,4331
drosophila_BDGP6,BDGP6.54,35442,100000,2.7559,36286
arabidopsis_TAIR10,TAIR10,54013,10000,3.0445,3285
arabidopsis_TAIR10,TAIR10,54013,500000,5.9547,83967
human_chr22,GRCh38,11605,1000,0.6208,1611
human_chr22,GRCh38,11605,100000,0.7343,136184
human_chr22,GRCh38,11605,500000,4.7566,105117
mouse_GRCm39,GRCm39,142626,10000,10.1994,980
mouse_GRCm39,GRCm39,142626,500000,12.3223,40577
human_full,GRCh38,508530,3893341,29.6851,131155
